
 - final statistics:
136 variables; iteration 0; function evaluation 0
Function value 7.3340e+03; maximum gradient component mag 4.1948e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
106  0.02148  2.99536e-05 |107 -0.00261  3.39974e-05 |108  0.01586  3.24669e-05
109  0.08394 -4.67510e-05 |110  0.02835 -4.91173e-05 |111 -0.01439  3.72752e-06
112  0.00446 -2.87334e-05 |113  0.01955 -1.01412e-05 |114  0.03886 -1.09588e-04
115  0.00304 -1.45960e-04 |116 -0.06231 -3.30405e-05 |117 -0.07875 -9.07796e-05
118 -0.07712 -1.18164e-04 |119 -0.03440 -8.33647e-05 |120  0.06997 -4.69230e-05
121  0.02382  9.81949e-05 |122  0.01399  9.91163e-05 |123 -0.02776  4.84435e-05
124 -0.06698  5.82784e-05 |125 -0.00633  6.30310e-05 |126  0.00477  7.46949e-05
127 -0.02715  2.83441e-05 |128  0.02836  9.94954e-05 |129  0.07361  1.36823e-04
130  0.01051 -1.77429e-05 |131  0.08266 -6.23082e-05 |132  0.00582 -4.07904e-05
133  0.13296 -1.30205e-05 |134 -0.00525 -1.35422e-06 |135 -0.04642  3.42511e-05
136 -0.05667  4.06963e-06 |137 -0.02189 -1.60819e-05 |138  0.09425  2.52891e-05
139  0.03193  3.47834e-06 |140  0.01687  1.17041e-05 |141 -0.02797  2.65874e-06
142 -0.01758 -2.34924e-06 |143 -0.00587  7.40373e-06 |144 -0.00040 -1.15471e-07
145  0.27523 -2.96123e-04 |146  0.18628  4.19484e-04 |

 - final statistics:
176 variables; iteration 0; function evaluation 0
Function value 7.3340e+03; maximum gradient component mag 1.5226e-03
Exit code = 0;  converg criter 1.0000e+00
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335  2.62261e-04 |  2  0.37108  1.52265e-03 |  3 -0.12611  1.26435e-03
  4 -0.01318  9.01010e-04 |  5 -0.70910 -1.48207e-04 |  6 -0.60422 -5.03171e-04
  7  0.37624  2.20121e-04 |  8 -0.18520  5.46645e-04 |  9  0.03404  4.22025e-04
 10 -0.60952 -8.88524e-05 | 11 -0.62338  2.96647e-04 | 12 -0.09168 -1.05223e-04
 13 -0.01012  1.15544e-05 | 14 -0.01034  9.58919e-06 | 15 -0.01056  1.29063e-05
 16 -0.01077  1.24305e-05 | 17 -0.01098  8.02325e-06 | 18 -0.01118  1.12171e-05
 19 -0.01137  1.25889e-05 | 20 -0.01156  9.91767e-06 | 21 -0.01173  1.37573e-05
 22 -0.01190  1.60895e-05 | 23 -0.01205  9.78463e-06 | 24 -0.01219  1.24888e-05
 25 -0.01231  1.28910e-05 | 26 -0.01242  1.40149e-05 | 27 -0.01251  1.34021e-05
 28 -0.01257  1.58766e-05 | 29 -0.01262  1.28815e-05 | 30 -0.01264  1.35511e-05
 31 -0.01264  1.42204e-05 | 32 -0.01261  1.23431e-05 | 33 -0.01256  1.33990e-05
 34 -0.01247  1.58414e-05 | 35 -0.01236  1.18052e-05 | 36 -0.01221  1.37594e-05
