
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 5.3245179e+03; maximum gradient component mag -2.5989e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  7  0.37624  3.52896e+00 |  8 -0.18520  1.79152e+02 |  9  0.03404  1.29951e+02
 10 -0.60952 -3.78337e+01 | 11 -0.62338 -1.05875e+02 | 12 -0.08452  4.07505e-01
 13 -0.00940  8.66378e-02 | 14 -0.00960  8.81693e-02 | 15 -0.00979  8.96132e-02
 16 -0.00998  9.09544e-02 | 17 -0.01016  9.21861e-02 | 18 -0.01033  9.32860e-02
 19 -0.01050  9.42371e-02 | 20 -0.01066  9.50268e-02 | 21 -0.01081  9.56442e-02
 22 -0.01094  9.60809e-02 | 23 -0.01106  9.63315e-02 | 24 -0.01117  9.63927e-02
 25 -0.01126  9.62610e-02 | 26 -0.01134  9.59315e-02 | 27 -0.01139  9.53971e-02
 28 -0.01142  9.46542e-02 | 29 -0.01143  9.37114e-02 | 30 -0.01141  9.25905e-02
 31 -0.01136  9.13241e-02 | 32 -0.01129  8.99393e-02 | 33 -0.01119  8.84606e-02
 34 -0.01105  8.69069e-02 | 35 -0.01088  8.52908e-02 | 36 -0.01068  8.36226e-02
 37 -0.01043  8.19110e-02 | 38 -0.01015  8.01728e-02 | 39 -0.00982  7.84256e-02
 40 -0.00945  7.66606e-02 | 41 -0.00903  7.49293e-02 | 42 -0.00858  7.32027e-02
 43 -0.00808  7.14353e-02 | 44 -0.00755  6.95589e-02 | 45 -0.00700  6.74803e-02
 46 -0.00642  6.51022e-02 | 47 -0.00583  6.23486e-02 | 48 -0.00525  5.91747e-02
 49 -0.00467  5.56036e-02 | 50 -0.00413  5.17480e-02 | 51 -0.00361  4.78240e-02
 52 -0.00314  4.41394e-02 | 53 -0.00272  4.10382e-02 | 54 -0.00234  3.87656e-02
 55 -0.00201  3.73719e-02 | 56 -0.00170  3.67098e-02 | 57 -0.00139  3.65311e-02
 58 -0.00107  3.65811e-02 | 59 -0.00071  3.66097e-02 | 60 -0.00028  3.64016e-02
 61  0.00027  3.57153e-02 | 62  0.00094  3.41848e-02 | 63  0.00179  3.09130e-02
 64  0.00284  2.36996e-02 | 65  0.00410  7.85093e-03 | 66  0.00557 -2.60763e-02
 67  0.00721 -9.30088e-02 | 68  0.00894 -2.11658e-01 | 69  0.01072 -3.94102e-01
 70  0.01259 -6.21301e-01 | 71  0.01487 -8.14413e-01 | 72  0.01813 -8.45564e-01
 73  0.02260 -6.63103e-01 | 74  0.02716 -4.74322e-01 | 75  0.02981 -6.04586e-01
 76  0.03074 -9.51449e-01 | 77  0.03219 -1.06494e+00 | 78  0.03421 -9.30922e-01
 79  0.03471 -9.08919e-01 | 80  0.03305 -1.12196e+00 | 81  0.03048 -1.38210e+00
 82  0.02834 -1.46813e+00 | 83  0.02663 -1.36553e+00 | 84  0.02400 -1.30203e+00
