
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3782341e+03; maximum gradient component mag -2.3190e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
112  0.01517  5.54841e+00 |113 -0.02939  5.38726e+00 |114 -0.05181  1.30568e+01
115 -0.00173  1.29104e+01 |116  0.01363  1.31833e+01 |117 -0.02381  5.37834e+00
118  0.01614 -2.83751e+00 |119  0.07368 -7.03949e+00 |120 -0.03493 -1.62713e+01
121  0.08463 -6.31730e+00 |122 -0.02032 -1.05778e+01 |123  0.12337 -7.57332e+00
124 -0.00800 -6.18102e-01 |125 -0.04174  2.68805e+00 |126 -0.04909  3.40213e+00
127 -0.02126  6.95133e-01 |128  0.08650 -2.99103e+00 |129  0.02915 -7.83383e-01
130  0.01705  5.44022e-01 |131 -0.02741  5.41912e-01 |132 -0.02391 -1.74380e+00
133 -0.00962 -9.50769e-01 |134 -0.00059 -4.51135e-02 |135  0.28597 -1.82197e+01
136  0.19422 -3.42220e+01 |
136 variables; iteration 40; function evaluation 56; phase 1
Function value 7.3341232e+03; maximum gradient component mag -1.1861e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42372 -1.18613e+01 |  2 -0.08778  5.73549e+00 |  3 -0.01033  8.64249e-03
  4 -0.01055  1.19100e-02 |  5 -0.01076  1.57910e-02 |  6 -0.01097  2.03376e-02
  7 -0.01116  2.56089e-02 |  8 -0.01135  3.16470e-02 |  9 -0.01153  3.84934e-02
 10 -0.01170  4.61876e-02 | 11 -0.01186  5.47640e-02 | 12 -0.01200  6.42533e-02
 13 -0.01213  7.46832e-02 | 14 -0.01224  8.60782e-02 | 15 -0.01234  9.84606e-02
 16 -0.01241  1.11849e-01 | 17 -0.01246  1.26256e-01 | 18 -0.01249  1.41687e-01
 19 -0.01249  1.58146e-01 | 20 -0.01247  1.75640e-01 | 21 -0.01242  1.94204e-01
 22 -0.01234  2.13881e-01 | 23 -0.01224  2.34733e-01 | 24 -0.01210  2.56826e-01
 25 -0.01192  2.80223e-01 | 26 -0.01171  3.04973e-01 | 27 -0.01145  3.31089e-01
 28 -0.01116  3.58552e-01 | 29 -0.01082  3.87273e-01 | 30 -0.01044  4.17025e-01
 31 -0.01001  4.47657e-01 | 32 -0.00955  4.78739e-01 | 33 -0.00906  5.09724e-01
 34 -0.00853  5.39878e-01 | 35 -0.00799  5.68274e-01 | 36 -0.00743  5.93839e-01
 37 -0.00688  6.15466e-01 | 38 -0.00635  6.32031e-01 | 39 -0.00585  6.42495e-01
 40 -0.00540  6.45928e-01 | 41 -0.00500  6.41490e-01 | 42 -0.00467  6.28440e-01
 43 -0.00442  6.06283e-01 | 44 -0.00424  5.74709e-01 | 45 -0.00412  5.33610e-01
 46 -0.00406  4.83186e-01 | 47 -0.00402  4.23971e-01 | 48 -0.00397  3.56900e-01
 49 -0.00390  2.83631e-01 | 50 -0.00375  2.06514e-01 | 51 -0.00349  1.28655e-01
 52 -0.00307  5.35729e-02 | 53 -0.00244 -1.53918e-02 | 54 -0.00157 -7.63174e-02
 55 -0.00043 -1.30183e-01 | 56  0.00100 -1.81986e-01 | 57  0.00270 -2.39467e-01
 58  0.00466 -3.08768e-01 | 59  0.00688 -3.89049e-01 | 60  0.00938 -4.74822e-01
 61  0.01209 -5.71780e-01 | 62  0.01490 -6.90029e-01 | 63  0.01801 -7.63793e-01
 64  0.02200 -6.49653e-01 | 65  0.02637 -4.26378e-01 | 66  0.02886 -4.82351e-01
 67  0.02925 -7.97799e-01 | 68  0.03005 -8.89405e-01 | 69  0.03185 -6.52808e-01
 70  0.03320 -3.69359e-01 | 71  0.03276 -2.93002e-01 | 72  0.03053 -4.39990e-01
 73  0.02764 -6.05325e-01 | 74  0.02569 -4.66455e-01 | 75  0.02457 -1.81906e-02
 76  0.02143  1.56943e-01 | 77  0.01643 -2.91860e-02 | 78  0.01230 -1.25856e-01
 79  0.00962 -8.51334e-02 | 80  0.00805 -1.27099e-02 | 81  0.00716  3.87535e-02
 82  0.00643  3.83979e-02 | 83  0.00566 -3.80470e-02 | 84  0.00529 -2.00430e-01
 85  0.00546 -4.49305e-01 | 86  0.00494 -7.92828e-01 | 87  0.00623 -1.08705e+00
 88  0.00921 -1.24014e+00 | 89  0.01025 -2.13461e+00 | 90  0.01206 -1.99698e+00
 91  0.01215 -1.87833e+00 | 92  0.00892 -2.30739e+00 | 93  0.00210 -1.98065e+00
 94  0.00442 -1.63252e+00 | 95  0.02138 -2.30811e+00 | 96  0.02100 -1.68946e+00
 97 -0.00073 -3.75918e-01 | 98  0.01251 -1.18873e+00 | 99  0.09162  8.82144e-01
100  0.02007 -2.25748e+00 |101 -0.01366 -1.11675e-01 |102  0.00579  4.79189e-01
103  0.02107  6.29970e-01 |104  0.03665 -7.96423e-02 |105  0.00258  1.26760e+00
106 -0.05814  4.11839e+00 |107 -0.07260  5.79887e+00 |108 -0.07274  4.75701e+00
109 -0.03393  2.94672e+00 |110  0.07042  4.16547e+00 |111  0.02762  2.94763e+00
112  0.01084 -1.59639e+00 |113 -0.02702 -5.56082e-01 |114 -0.07135 -2.61627e+00
115 -0.00675 -1.73981e+00 |116  0.00206 -2.15494e+00 |117 -0.02696 -3.82877e-01
118  0.03043  6.87524e-01 |119  0.07283  4.54070e-01 |120  0.01216  7.71341e-01
121  0.08202  2.18028e-01 |122  0.00666  5.58165e-01 |123  0.13352  9.99235e-01
124 -0.00740 -1.06197e+00 |125 -0.04550  4.29385e-01 |126 -0.05494  7.24006e-01
127 -0.02104  3.38049e-01 |128  0.09027 -1.82721e+00 |129  0.03101 -3.76633e-01
130  0.01588 -2.62547e-01 |131 -0.02721  4.00776e-01 |132 -0.01911 -4.45510e-01
133 -0.00582 -1.58199e-02 |134 -0.00039  1.11973e-03 |135  0.27150  4.61445e+00
136  0.18254  3.38126e+00 |

 - final statistics:
136 variables; iteration 44; function evaluation 63
Function value 7.3341e+03; maximum gradient component mag -8.7312e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42371 -8.73119e+00 |  2 -0.08680  2.73162e+00 |  3 -0.01027 -2.46498e-02
  4 -0.01051 -2.95511e-02 |  5 -0.01075 -3.44770e-02 |  6 -0.01098 -3.93361e-02
  7 -0.01121 -4.40318e-02 |  8 -0.01144 -4.84451e-02 |  9 -0.01165 -5.24506e-02
 10 -0.01185 -5.59175e-02 | 11 -0.01205 -5.87088e-02 | 12 -0.01223 -6.06852e-02
 13 -0.01239 -6.17074e-02 | 14 -0.01253 -6.16384e-02 | 15 -0.01266 -6.03474e-02
 16 -0.01277 -5.77122e-02 | 17 -0.01285 -5.36207e-02 | 18 -0.01291 -4.79702e-02
 19 -0.01294 -4.06628e-02 | 20 -0.01294 -3.16033e-02 | 21 -0.01291 -2.07035e-02
 22 -0.01285 -7.88937e-03 | 23 -0.01275  6.88714e-03 | 24 -0.01262  2.36312e-02
 25 -0.01246  4.22899e-02 | 26 -0.01225  6.27331e-02 | 27 -0.01200  8.47460e-02
 28 -0.01172  1.08030e-01 | 29 -0.01139  1.32210e-01 | 30 -0.01102  1.56812e-01
 31 -0.01061  1.81421e-01 | 32 -0.01017  2.05530e-01 | 33 -0.00970  2.28673e-01
 34 -0.00920  2.50472e-01 | 35 -0.00869  2.70691e-01 | 36 -0.00816  2.89292e-01
 37 -0.00763  3.06457e-01 | 38 -0.00711  3.22466e-01 | 39 -0.00660  3.37586e-01
 40 -0.00611  3.51897e-01 | 41 -0.00566  3.65168e-01 | 42 -0.00526  3.76841e-01
