
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3796087e+03; maximum gradient component mag -2.5350e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 88  0.01429  2.45816e-01 | 89  0.01207  2.41839e-01 | 90  0.00966 -3.48252e-02
 91  0.00758 -4.26595e-01 | 92  0.00577 -8.54240e-01 | 93  0.00428 -1.28279e+00
 94  0.00364 -1.70076e+00 | 95  0.00404 -2.09512e+00 | 96  0.00405 -2.51241e+00
 97  0.00498 -3.09573e+00 | 98  0.00685 -3.71159e+00 | 99  0.01312 -3.79974e+00
100  0.01178 -4.51467e+00 |101  0.00926 -5.11899e+00 |102  0.00824 -5.27099e+00
103 -0.00089 -5.40980e+00 |104 -0.00438 -6.31429e+00 |105  0.02827 -4.24546e+00
106  0.01918 -5.05900e+00 |107 -0.00303 -3.54261e+00 |108  0.00150 -6.09730e+00
109  0.09720 -2.24494e+00 |110  0.01023 -6.05072e+00 |111 -0.01481 -1.13901e+00
112  0.00517  6.61734e-01 |113  0.01915  2.34437e+00 |114  0.03773  4.99694e+00
115  0.00468  6.76484e+00 |116 -0.06048  6.01426e+00 |117 -0.07289  8.42445e+00
118 -0.06952  9.40605e+00 |119 -0.02869  8.05300e+00 |120  0.06408  5.34235e+00
121  0.03076  7.67931e+00 |122  0.01594  3.78413e+00 |123 -0.03401 -2.71280e+00
124 -0.07786 -5.30955e+00 |125 -0.01187 -4.04811e+00 |126  0.00623 -9.27134e-01
127 -0.02336  4.88545e-01 |128  0.02130 -2.55079e+00 |129  0.07359  1.09849e+00
130  0.01920  4.15165e+00 |131  0.08095  1.21020e+00 |132  0.00823  1.29073e+00
133  0.13252  2.38087e-01 |134 -0.00580 -1.76633e-01 |135 -0.04450  8.33739e-01
136 -0.05699 -1.59053e-02 |137 -0.02021  6.23388e-01 |138  0.09325 -2.83298e-01
139  0.03131 -2.07993e-01 |140  0.01349 -1.20719e+00 |141 -0.02702  3.68011e-01
142 -0.01685  2.05262e-01 |143 -0.00460  3.25674e-01 |144 -0.00035  1.35372e-02
145  0.28169  8.43661e+00 |146  0.19179  7.58173e+00 |

Initial statistics: 176 variables; iteration 0; function evaluation 0; phase 3
Function value 7.3353695e+03; maximum gradient component mag -1.2265e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42343 -4.23776e+00 |  2  0.37108  5.69978e+00 |  3 -0.12611  4.84610e+00
  4 -0.01318  4.81667e+00 |  5 -0.70910  9.79518e-01 |  6 -0.60422 -1.61392e+00
  7  0.37624  5.46400e+00 |  8 -0.18520  9.09195e+00 |  9  0.03404  5.78648e+00
 10 -0.60952  8.26654e-01 | 11 -0.62338  5.85327e-01 | 12 -0.09431  8.26672e+00
 13 -0.01001  8.99596e-02 | 14 -0.01024  8.84316e-02 | 15 -0.01047  8.67705e-02
