
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3785787e+03; maximum gradient component mag -2.5317e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 76  0.01761 -4.57812e-01 | 77  0.01629 -1.12584e-02 | 78  0.01451  2.73120e-01
 79  0.01164  1.36484e-01 | 80  0.00901 -1.76687e-01 | 81  0.00713 -5.08629e-01
 82  0.00569 -8.40655e-01 | 83  0.00450 -1.18279e+00 | 84  0.00399 -1.55652e+00
 85  0.00429 -1.96075e+00 | 86  0.00447 -2.33139e+00 | 87  0.00568 -2.85188e+00
 88  0.00732 -3.52322e+00 | 89  0.01295 -3.74733e+00 | 90  0.01141 -4.51673e+00
 91  0.00893 -5.13552e+00 | 92  0.00783 -5.31716e+00 | 93 -0.00135 -5.47147e+00
 94 -0.00478 -6.35187e+00 | 95  0.02761 -4.23603e+00 | 96  0.01977 -4.71596e+00
 97 -0.00250 -3.14499e+00 | 98  0.00112 -5.85120e+00 | 99  0.09771 -1.40522e+00
100  0.00960 -5.75359e+00 |101 -0.01466 -6.98104e-01 |102  0.00662  1.52124e+00
103  0.01775  2.40471e+00 |104  0.03878  5.75032e+00 |105  0.00456  6.97457e+00
106 -0.06046  5.92182e+00 |107 -0.07415  7.60622e+00 |108 -0.06880  9.44374e+00
109 -0.02982  7.13365e+00 |110  0.06384  4.81336e+00 |111  0.03180  8.10399e+00
112  0.01527  3.48644e+00 |113 -0.03335 -2.44408e+00 |114 -0.07772 -5.28109e+00
115 -0.01222 -4.21493e+00 |116  0.00642 -9.52352e-01 |117 -0.02260  5.79108e-01
118  0.01997 -3.22315e+00 |119  0.07300  8.26882e-01 |120  0.02149  5.13184e+00
121  0.08134  1.82848e+00 |122  0.00835  1.40825e+00 |123  0.13266  3.28149e-01
124 -0.00555 -8.83084e-02 |125 -0.04402  1.00034e+00 |126 -0.05676  5.86985e-02
127 -0.01948  8.79916e-01 |128  0.09366 -8.83056e-02 |129  0.03106 -3.09779e-01
130  0.01211 -1.73555e+00 |131 -0.02680  4.58501e-01 |132 -0.01705  1.44470e-01
133 -0.00450  3.54935e-01 |134 -0.00034  1.49685e-02 |135  0.28167  8.69541e+00
136  0.19175  7.81690e+00 |

 - final statistics:
146 variables; iteration 0; function evaluation 0
Function value 7.3343e+03; maximum gradient component mag 9.4437e+00
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42343 -2.96334e+00 |  2  0.37108  4.51169e+00 |  3 -0.12611  4.75816e+00
  4 -0.01318  4.12664e+00 |  5 -0.70910  9.19166e-01 |  6 -0.60422 -1.55240e+00
  7  0.37624  5.29203e+00 |  8 -0.18520  9.27167e+00 |  9  0.03404  5.62009e+00
 10 -0.60952  7.47264e-01 | 11 -0.62338  5.66318e-01 | 12 -0.09427  8.44107e+00
 13 -0.01011  6.57298e-02 | 14 -0.01034  6.35529e-02 | 15 -0.01057  6.12837e-02
 16 -0.01080  5.89464e-02 | 17 -0.01102  5.65659e-02 | 18 -0.01124  5.41782e-02
 19 -0.01145  5.18200e-02 | 20 -0.01165  4.95307e-02 | 21 -0.01184  4.73535e-02
 22 -0.01202  4.53327e-02 | 23 -0.01218  4.35137e-02 | 24 -0.01233  4.19427e-02
 25 -0.01247  4.06637e-02 | 26 -0.01258  3.97173e-02 | 27 -0.01268  3.91427e-02
 28 -0.01275  3.89818e-02 | 29 -0.01280  3.92851e-02 | 30 -0.01283  4.01136e-02
 31 -0.01283  4.15281e-02 | 32 -0.01280  4.35813e-02 | 33 -0.01274  4.63084e-02
 34 -0.01266  4.97164e-02 | 35 -0.01253  5.37719e-02 | 36 -0.01238  5.83940e-02
 37 -0.01218  6.34477e-02 | 38 -0.01195  6.87476e-02 | 39 -0.01168  7.40604e-02
 40 -0.01137  7.90923e-02 | 41 -0.01102  8.35722e-02 | 42 -0.01064  8.71743e-02
 43 -0.01024  8.95923e-02 | 44 -0.00980  9.05978e-02 | 45 -0.00935  9.00965e-02
 46 -0.00889  8.82192e-02 | 47 -0.00842  8.53756e-02 | 48 -0.00796  8.22440e-02
 49 -0.00751  7.97336e-02 | 50 -0.00708  7.88806e-02 | 51 -0.00667  8.07383e-02
 52 -0.00629  8.62773e-02 | 53 -0.00595  9.63442e-02 | 54 -0.00563  1.11520e-01
 55 -0.00533  1.32030e-01 | 56 -0.00503  1.57767e-01 | 57 -0.00471  1.88334e-01
 58 -0.00436  2.23063e-01 | 59 -0.00395  2.61101e-01 | 60 -0.00346  3.01208e-01
 61 -0.00285  3.41547e-01 | 62 -0.00212  3.79071e-01 | 63 -0.00124  4.09061e-01
 64 -0.00021  4.24546e-01 | 65  0.00097  4.16319e-01 | 66  0.00229  3.75684e-01
 67  0.00374  2.98545e-01 | 68  0.00538  1.95226e-01 | 69  0.00734  9.95951e-02
 70  0.00987  6.63535e-02 | 71  0.01313  1.35584e-01 | 72  0.01685  2.58419e-01
 73  0.02018  2.66003e-01 | 74  0.02233  4.11296e-02 | 75  0.02388 -2.48974e-01
 76  0.02632 -2.71097e-01 | 77  0.03000  5.63668e-02 | 78  0.03345  4.59674e-01
 79  0.03538  7.09600e-01 | 80  0.03585  8.13245e-01 | 81  0.03538  8.44059e-01
 82  0.03412  8.19404e-01 | 83  0.03162  6.59624e-01 | 84  0.02714  2.28511e-01
 85  0.02145 -3.40559e-01 | 86  0.01761 -4.57812e-01 | 87  0.01629 -1.12584e-02
 88  0.01451  2.73120e-01 | 89  0.01164  1.36484e-01 | 90  0.00901 -1.76687e-01
 91  0.00713 -5.08629e-01 | 92  0.00569 -8.40655e-01 | 93  0.00450 -1.18279e+00
 94  0.00399 -1.55652e+00 | 95  0.00429 -1.96075e+00 | 96  0.00447 -2.33139e+00
 97  0.00568 -2.85188e+00 | 98  0.00732 -3.52322e+00 | 99  0.01295 -3.74733e+00
100  0.01141 -4.51673e+00 |101  0.00893 -5.13552e+00 |102  0.00783 -5.31716e+00
103 -0.00135 -5.47147e+00 |104 -0.00478 -6.35187e+00 |105  0.02761 -4.23603e+00
106  0.01977 -4.71596e+00 |107 -0.00250 -3.14499e+00 |108  0.00112 -5.85120e+00
109  0.09771 -1.40522e+00 |110  0.00960 -5.75359e+00 |111 -0.01466 -6.98104e-01
112  0.00662  1.52124e+00 |113  0.01775  2.40471e+00 |114  0.03878  5.75032e+00
115  0.00456  6.97457e+00 |116 -0.06046  5.92182e+00 |117 -0.07415  7.60622e+00
118 -0.06880  9.44374e+00 |119 -0.02982  7.13365e+00 |120  0.06384  4.81336e+00
121  0.03180  8.10399e+00 |122  0.01527  3.48644e+00 |123 -0.03335 -2.44408e+00
124 -0.07772 -5.28109e+00 |125 -0.01222 -4.21493e+00 |126  0.00642 -9.52352e-01
127 -0.02260  5.79108e-01 |128  0.01997 -3.22315e+00 |129  0.07300  8.26882e-01
130  0.02149  5.13184e+00 |131  0.08134  1.82848e+00 |132  0.00835  1.40825e+00
133  0.13266  3.28149e-01 |134 -0.00555 -8.83084e-02 |135 -0.04402  1.00034e+00
136 -0.05676  5.86985e-02 |137 -0.01948  8.79916e-01 |138  0.09366 -8.83056e-02
139  0.03106 -3.09779e-01 |140  0.01211 -1.73555e+00 |141 -0.02680  4.58501e-01
142 -0.01705  1.44470e-01 |143 -0.00450  3.54935e-01 |144 -0.00034  1.49685e-02
145  0.28167  8.69541e+00 |146  0.19175  7.81690e+00 |

Initial statistics: 176 variables; iteration 0; function evaluation 0; phase 3
Function value 7.3343479e+03; maximum gradient component mag -1.2971e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42343 -2.96334e+00 |  2  0.37108  4.51169e+00 |  3 -0.12611  4.75816e+00
  4 -0.01318  4.12664e+00 |  5 -0.70910  9.19166e-01 |  6 -0.60422 -1.55240e+00
  7  0.37624  5.29203e+00 |  8 -0.18520  9.27167e+00 |  9  0.03404  5.62009e+00
